,text,label
47,beneran sedih banget iya orang tuh susah menerima fakta prabowo war criminal zionist there s so many possibilities beliau kepilih regress demokrasi otoriter menteri progresif didepak,Politik
48,lautan manusia sambut capres nomor urut anies baswedan laksanakan giat kampanye bone sulawesi selatan sulsel rabu anies bertemu masyarakat bone lapangan sepak bola cina kampanye kali spesial lantaran ditemani eks wakil presiden jusuf kalla jk lautan manusia antusias menyapa anies takjub uang mengobarkan semangat simak berita selengkapnya,Politik
49,kali capres peluk orang papua mencium tangan anak anak papua biar rakyat menilai gak berpengaruh all in prabowo istirahat anies deserve better,Politik
50,vote anies muhaimin februari silahkan retweet,Politik
51,data manaaaaa data lahan prabowo rahasia pertahanan index peringkat dibaca ganjar rahasia pertahanan astagaaaa,Pertahanan dan Keamanan
52,video direkam april dlm acara mengadili anies presiden cita cita anies value pikiran dibawa dlm gagasan anies pemikiran negarawan jarang dengar pemikiran beliau dinegeri teman-teman,Politik
53,ganjar prof mahfud memperoleh dukungan luas keberanian menghadapi dinamika gopolitik terduga,Politik
54,jk tanah bob hasan dimiliki prabowo,Politik
55,bawaslu terkesan membenarkan kegiatan paslon kunjungan prabowo cilincing diwarnai uang rb dianggap kunjungan menhan bawaslu terserah klean,Politik
56,prabowo tipe suka bukti kinerjanya sekedar omong kosong belaka,Politik
57,abah anies mengangkat martabat petani menerus menerima bansos penghasilannya,Sosial Budaya
58,anies prediksi ulama madura jawa timur terkagum kagum anies ulama madura bernama kyai fattah mengaku kalah menyimak anies acara cifp,Politik
59,nelayan butuh tindakan nyata ganjar pranowo mahfud md hadirkan solusi terbaik,Politik
60,anies bersikap kritis kinerja prabowo dianggap engga sopan dianggap menghormati orang tua giliran skrg gibran menyebalkan sok kritis dianggap kritis keras standar ganda,Politik
61,ganjar pranowo tindakan positifnya keberaniannya menjaga keamanan nasional mendukung cyber force,Pertahanan dan Keamanan
62,batam pecah suasana pasar tos batam anies baswedan berkunjung warga menyambut meneriakkan anies presiden,Politik
63,debat semalam bukaan imformasi pertahanan rdp komisi i dpr beliau menolak rapat terbuka bertahan rapat tertutup ngadepin capres sok ga dibuka,Pertahanan dan Keamanan
64,anies prestasinya jakarta gemilang didukung pemerintah pusat cenderung dihambat framing jahat anies kerja,Politik
65,konsisten bersuara melawan radikalisme intoleransi yg pilih prabowo omon omon dianggap tokoh toleran masyarakat lintas etnis kalbar kompak dukung ganjar pontianak ribuan masyarakat lintas etnis kalimantan barat berkumpul hotel golden tulip pontianak rabu perwakilan tokoh dayak tionghoa papua jawa minang batak madura selamat kota khatulistiwa ganjar bangga tokoh adat etnis menyambut ganjar ketua dewan pembina dewan adat daerah dad kalbar ketua tim pemenangan daerah tpd ganjar mahfud kalbar lazarus masyarakat kalbar antusias menyambut ganjar kehadiran tokoh ketua organisasi etnis bukti sepakat mendukung ganjar mahfud tokoh adat berkumpul mewakili organisasi kelompok etnis adat kalimantan barat mendukung ganjar memenangkan kalbar lazarus disambut teriakan kompak ribuan masyarakat adat kalbar ganjar presiden ganjar mahfud menang menang menang teriak kompak tokoh adat dayak henusa masyarakat lintas etnis kalbar kompak mendukung ganjar dianggap tokoh toleran anggota dpr ri gubernur jateng periode ganjar harmonisasi mengidolakan mendukung ganjar presiden tangan beliau intoleransi indonesia dihilangkan ganjar menyambut dukungan masyarakat lintas etnis kalbar terima kasih menurutnya apapun hasil pilpres toleransi indonesia terjaga kalbar contoh daerah toleran kalbar kota dinobatkan kota toleran indonesia singkawang,Demografi
66,koneksi internet kebutuhan pokok masyarakat indonesia menjalankan aktivitas sehari paslon ganjar mahfud komitmennya menghadirkan internet kuat cepat murah masyarakat indonesia,Ekonomi
67,jaua suparna anies s nya fakultas ekonomi s nya kebijakkan keuangan s nya political ekonomi amp pembangunan,Ekonomi
68,isu palestina prabowo keberpihakan amp kepedulian menegakkan konstitusi watak aslinya,Politik
69,acara pendukung anies ramaikan lokasi kampanye,Politik
70,terpenting bangsa bersyukur prabowo gibran,Politik
71,membutuhkan penjaga tni al kuat mengibarkan merah putih menegakkan kedaulatan negara menhan prabowo,Pertahanan dan Keamanan
72,kinerja prabowo fokus modernisasi alutsista beliau dinilai mendorong perkembangan industri pertahanan negeri loh,Pertahanan dan Keamanan
73,gak sebatas wacana langkah nyata kayak pasangan ganjar pranowo mahfud md,Politik
74,,Sosial Budaya
75,duo bangsa ganjar pranowo prof mahfud program bikin indonesia yuk pilih bawa solusi nyata ganjarmahfud taat hukum,Politik
76,menkominfo budi arie bela prabowo data pertahanan bersifat rahasia,Pertahanan dan Keamanan
77,anies referensinya jkw capres diajarkan rakyat indonesia goblok tolol janji mengembalikan tanah bilang,Politik
78,calon presiden ri no urut ganjar pranowo gak main main menjaga konstitusi aturan dasar negara percaya,Ideologi
79,gibran permasalahan pupuk internet jalan berlubang prabowo gibran,Politik
80,menghadiri tantangan kpk komitmennya pemberantasan korupsi indonesia majalengka majalengka beiqnhxqr ganjar mahfud hebat,Politik
81,capres ganjar pranowo konstitusi aturan dasar negara dasar keadilan dipegang teguh,Ideologi
82,anies baswedan proxy us didukung yaman fpi abu bakar baasyir freemason bangun khilafah disupport kader nu muhamadiyah lupa dukungan komunitas pecinta perkutut berkolaborasi sjw feminism mas mas rohis celana cingkrang kpoper,Ideologi
83,pilih capres ganjar pranowo keren pilih pemimpin sulit mengendalikan emosi menciptakan ketidakpastian kalangan masyarakat jna,Politik
84,anies berprestasi nasional internasional lihat video prestasi prabowo korupsi food estate amp anggaran kemenhan prabowo singgung orang pandai bicara kerja sindir anies,Politik
85,capres nomor urut anies baswedan pergeseran substitusi import terjaga anies baswedan ekosistem industri pasar konsumsi sentra produksi global diharapkan muncul kegiatan ekspor perihal tingkat komponen negeri anies ditingkatkan bertahap simak video selengkapnya nantikan live eksklusif dialog capres kadin sesi iii prabowo subianto jumat januari pkl wib live tvone live streaming youtube tvonenews,Ekonomi
86,momen capres nomor urut ganjar pranowo besuk relawannya korban penganiayaan oknum tni boyolali kondisi kronologi kejadian relawan pendukungnya dipukuli aparat keamanan institusi tni menangani kejadian,Pertahanan dan Keamanan
87,palestina tindas gk kekuatan militer palestina lemah ksh buku biar paham vatikan gk kekuatan militer berani tindas gk analogi kekuatan militer palestina gk lemah gk lemah dilemahkan sistem kampret pbb skrg diam genosida pelanggaran ham berat berani nuntut den haag afrika selatan,Pertahanan dan Keamanan
88,rstmbcl santri riang gembira ganjar mahfud md ganjarmahfud jauhi dusta amp emosional ganjar mahfud hebat sikat kkn,Politik
89,media asing the new york times tulis prabowo menang demokrasi indonesia mati,Politik
90,kebersamaan perbedaan solid mendukung ganjar pranowo mahfud md pilihan terbaik pilpres,Politik
91,inget video udah lihat perhatikan tangan anies orang mah iya bikin,Politik
92,anies baswedan mas bowo wawasan capres ganjar pranowo prestasi nyata pilih pemimpin berdasarkan hasil kerja jnx,Politik
93,pemikiran terkait program makan siang gratis subsidi susu upaya politik prabowo dinilai berpotensi merugikan keuangan negara mengorbankan sektor pendidikan bantuan sosial,Politik
94,anies janji regulasi hapus diskriminasi usia syarat lowongan kerja,Politik
95,dukungan rakyat mengalir prabowo gibran lawan rakyatsenang menang,Politik
96,anies kreatif bawa isu panggung pilpres,Politik
97,prabowo subianto kenaikan air hujan adi membenarkan situasi menekankan kesulitan air bersih utama,Sumber Daya Alam
98,legislasi diinisiasi ganjar pranowo mahfud md bertujuan menciptakan keadilan gender kerja meningkatkan kesejahteraan ekonomi perempuan,Ekonomi
99,capres cawapres ganjar pranowo mahfud md berpesan menjaga konstitusi aturan dasar negara landasan bangsa,Ideologi
100,pendukung mengerumuni anies pendukung hadiah cenderamata mantan gubernur dki jakarta,Politik
101,pemilih rasional bandingkan rekam jejaknya rekam karyanya pesan abah acara desak anies yogyakarta,Politik
102,menyaksikan perubahan kepemimpinan penuh harapan ganjar pranowo mengemban tugas dijalankan jokowi,Politik
103,jnk kekuatan membawa perubahan positif mendukung ganjar pranowo mahfud md pilpres,Politik
104,anak muda indonesia the future of this nation is in your hand it s the time for change anies for president teman adu ide amp gagasan tunjukan karya karya anies perubahan indonesia,Ideologi
105,video dibawah diambil bukti rembug ganjar sdh rutin bukti ganjar melibatkan masyarakat mencari solusi hadapi hapus kredit macet melibatkan masyarakat subjek pembangunan kebijakan diambil sesuai dihadapi rakyat makan siang gratis program elit rakyat solusi pemutihan kredit macet menghapuskan utang nelayan petani hasil kebijakan menimbulkan efek rakyat rakyat subjek objek pembangunan menjalankan kebijakan,Sosial Budaya
106,gue speechless amp merinding fenomena pendukung anies militan bikin spanduk karung dipasang jembatan lenteng agung bikin fandom x anies bubble beneran keren sumpah semoga arus perubahan berhasil gemilang,Sosial Budaya
107,parah mbak buktinya gak ganjar anies ngolok kekuatan militer indonesia jgn mentang skrg demokrat mendukung digarisan penguasa iya,Politik
108,tdk platform bikinan anies namanya bawa ide pemuda mendaftar amp terpilih mempresentasikan gagasannya sesuai background anak muda diajak tampil diam amp membebek,Ideologi
109,cerita pasangan mahfud md ganjar pranowo percaya semangat dwi tunggal wujudkan impian,Politik
110,vidio catatan pendukung wowo anies gurbernur,Ekonomi
111,tolol bilang anies baswedan serang personal prabowo orang paham definisi serang personal serang personal serang fisik anak intinya personal anies serang kinerja prabowo menhan,Politik
112,dukung prabowo mewujudkan perubahan warga jabar berbuatbaik untukmasyarakat,Politik
113,milih ganjar pranowo capres no wujudkan indonesia ganjar mahfud hebat resolusi indonesia,Politik
114,orang penembak relawan prabowo dibekuk polda jatim kepala desa,Pertahanan dan Keamanan
115,menhan prabowo subianto sanjung kepemimpinan bupati arief rohman lakukan kunjungan kerja blora radar kudus radar kudus,Politik
116,januari serangan kubu kawan-kawan sengit doxxing akun akun sosmed berharap cepu grup login tertutup membagikan informasi counter serangan biarkan berkuasa prabowo,Pertahanan dan Keamanan
117,gibran klaim food estate singkong prabowo panen greenpeace kali lokasi,Politik
118,pernyataan prabowo debat capres kecewa narasi paslon capres nomor urut prabowo subianto mengaku kecewa narasi pasangan calon presiden nomor urut anies baswedan capres nomor urut ganjar pranowo debat capres minggu kecewa kualitas narasi paslon paslon datanya salah keliru data pertahanan dipakai mencari poin politik negarawan prabowo simak selengkapnya video temukan informasi terbaru kanal youtube kompastv,Politik
119,anies berjanji membangun jalan produksi menghubungkan sentra produksi pertanian pasar jawa barat,Sumber Daya Alam
120,berperan mendamaikan rusia ukraina kunjungan presiden kiev moskow pasca perang pecah lagaknya damaikan kubu seteru yg dugaan manfaatkan agenda negara kepentingan pribadi pasca lobi hashim adiknya prabowo tender pengiriman gandum jagung ukraina,Politik
121,demokrasi ala ganjar smg aspirasi rakyat jalankan,Politik
122,temenku pendukung prabowo bilang wajar prabowo kena ham militer dg analogi diwajarkan militer pelanggaran ham rakyat sipil,Politik
123,anies kesetaraan pendidikan salah diperjuangkan,Ideologi
124,wow kampanye akbar capres pasangan no anies baswedan gor parung bogor indonesia people deserve better,Politik
125,pupuk bersubsidi langka tim prabowo gibran posko penyaluran pupuk bersubsidi petani solar bersubsidi langka tim prabowo gibran posko penyaluran solar bersubsidi nelayan beras mahal tim prabowo gibran bansos beras negara,Ekonomi
126,calon wakil presiden nomor urut mahfud md laju deforestasi penggundulan hutan indonesia tertinggi dunia prabowo subianto,Sumber Daya Alam
127,melawan framing anies jualan politik identitas,Politik
128,januari serangan kubu kawan-kawan sengit doxxing akun akun sosmed berharap cepu grup login tertutup membagikan informasi counter serangan biarkan berkuasa prabowo,Pertahanan dan Keamanan
129,menjadikan abah anies pemimpin republik cita cita love you abah,Politik
130,orang papua berharap anies presiden,Sosial Budaya
131,fakta alami lapangan kenalan kenalan temui teman teman kampus orang pilihan capres mendukung prabowo kutanya alasannya seputar gimmick gimmick tim memahami gagasan visi misi capresnya me judge bagiku sah sah hak warga negara memilih alasan apapun indonesia butuh dipimpin orang orang gagasan hebat gagasan detail gagasan bertumbuh seiring perkembangan zaman butuh mengangkat pemimpin cerdas wawasan luas it s okay umur indonesia negeri muda mengerti meritokrasi,Politik
132,anies baswedan sblm aktif politik blusukan pelosok wilayah memajukan dunia pendidikan negeri tercinta,Politik
133,papua barat mengirimkan guru guru pelosok pelosok papua orang sinyal listrik capres anies baswedan,Politik
134,kapitalisme neoliberal cocok indonesia prabowo kalimantan,Ideologi
135,ganjar informasi mamat gunshop dibuka publik mamat gunshop riskan pengetahuan masyarakat global sistem pertahanan sih ganjar malam andalan,Pertahanan dan Keamanan
136,dukungan prabowo subianto pemimpin memprioritaskan kepentingan rakyat prabowo subianto,Politik
137,kiki daliyo ganjar pranowo sikap disitulah bentuk cinta bangsa indonesia hebat lulus kerja,Ideologi
138,capres nomor urut ganjar pranowo menanggapi politikus pdip rieke diah pitaloka ganjar mahfud hebat,Politik
139,hadiri konser indonesia maju tulungagung tomi gandhi prabowo gibran optimis menang putaran,Politik
140,anies saking programnya oke orang orang fear mongering black campaign beliau isu beliau gak terlibat didalamnya validitas ceritanya dibuktikan pengarangnya anon stop that you teman-teman are nasty,Politik
141,sadar anies peragakan gerakan attack on titan tutup debat pilpres ketiga momen anies memeragakan gerakan anime attack on titan mengepalkan tangan kanannya menyilangkannya dada tangan kirinya mengambil gerakan gerakan istirahat gerakan pasukan pembebesan anime attack on titan berperang melawan musuh bahasa jepang gerakan disertai teriakan shinzou wo sasageyo mengabdikan hatimu harfiah konteks attack on titan pasukan mati kebebasan,Sosial Budaya
142,prabowo bicara hilirisasi debat helai rabut ganjar hitam,Politik
143,januari serangan kubu kawan-kawan sengit doxxing akun akun sosmed berharap cepu grup login tertutup membagikan informasi counter serangan biarkan berkuasa prabowo,Pertahanan dan Keamanan
144,fakta komunikasi peringatan apapun usut tuntas rakyat netralitas tni kawal ganjar mahfud kemenangan kemenangan,Politik
145,pupuk bersubsidi langka tim prabowo gibran posko penyaluran pupuk bersubsidi petani solar bersubsidi langka tim prabowo gibran posko penyaluran solar bersubsidi nelayan beras mahal tim prabowo gibran bansos beras negara,Ekonomi
146,abah anies mengangkat martabat petani menerus menerima bansos penghasilannya,Sosial Budaya
147,masyaallah semoga kelancaran kesehatan istiqomah perjuangan pilpres aamiin iya rabb paslon serius menghadapi pilpres adu gagasan belanja issue grassro,Politik
148,medan anak medan merantau jakarta pulang rumah dipanggil orang tua prabowo gibran kerja nyata,Politik
149,tuh bilang gaza lemah oh iya si prabowo normalisasi israel,Politik
150,semalam ganjar mengambil keuntungan tingginya tensi capres semoga rakyat cerdas memahami makna debat berdua anies serang prabowo lembaga negara pribadi prabowo tendensius amp personal,Politik
151,januari serangan kubu kawan-kawan sengit doxxing akun akun sosmed berharap cepu grup login tertutup membagikan informasi counter serangan biarkan berkuasa prabowo,Pertahanan dan Keamanan
152,capres cawapres ganjar pranowo mahfud md mengajak bersatu menjaga konstitusi aturan dasar negara,Ideologi
153,sakaria wielgosz menyoroti fokus ganjar mahfud umkm menganggapnya fondasi kuat pertumbuhan ekonomi berkelanjutan ganjar pranowo berhak terbaik,Ekonomi
154,calon presiden capres nomor urut ganjar pranowo berkampanye karawang jawa barat jumat ganjar ganjar mahfud hebat lulus kerja,Politik
155,momen capresku jenguk relawan ganjar mahfud korban penganiayaan oknum tni korban slamet andono bercerita diseret jalan raya dibawa masuk markas batalyon situ dipukuli oknum tni miris,Pertahanan dan Keamanan
156,al fatihah alm lambang babar purnomo alumnus arkeologi ugm diduga dibunuh saksi pencurian pemalsuan arca museum radya pustaka melibatkan hashim djojohadikusumo adik prabowo,Pertahanan dan Keamanan
157,akhirnyaaaaaaa adsnya abah minol titik ads abah gemes banget anies all rounder anies th gen it boy anies th gen leader,Politik
158,joget joget menyenangkan pemuda program program solusi nyata program pasangan capres ganjar pranowo mahfud md,Politik
159,peta komoditas dimiliki ganjar jendela kekayaan alam dimiliki indonesia,Sumber Daya Alam
160,pdip tanggapi jokowi prabowo makan malam berdua detikbali,Politik
161,ayo tanamkan benih perubahan pilih ganjar pranowo ajak anak anak muda menciptakan indonesia maju,Politik
162,mendengar prabowo subianto calon presiden nomor urut berjanji mencari solusi prabowo subianto,Ekonomi
163,umumkan dukung anies muhaimin janji dr tirta amin menang pilpres,Politik
164,rencana evaluasi uu ite ganjar pranowo mahfud md mari wujudkan kebebasan berpendapat berkeadilan,Politik
165,masyarakat percaya elektabilitas prabowo gibran meningkat pilpres putaran dimenangkan,Politik
166,masyarakat muak kelakuan pdi p masyarakat dikandang nya prabowo,Politik
167,kebersamaan kekuatan sukses capres cawapres ganjar pranowo mahfud md pilpres,Politik
168,capres no ganjar pranowo sekedar bicara tindakan tawarkan kontrak terbuka ipb bantu kedaulatan pangan,Politik
169,anies menang putaran mari kelola anugrah tuhan anies rasyid baswedan x suku mari bersatu aceh papua anies baswedan sang pemersatu indonesia sejahtera,Politik
170,salah nya anies dibangun jis besaran didukung jkw dananya jis ditempat degradasi penurunan lahannya jakarta utara banjir rob pantura klu kapasitas rb wajar jis salah roadma,Sumber Daya Alam
171,benci banget bicara gini kalangan menengah keatas emang fakta kebijakan anies menguntungkan kalangan menengah kebawah orang kaya anies tu uang kerjanya ga menguntungkan,Politik
172,dunia geger program berita dunia negara negara dunia kebingunan anies pemenang pilpres menunjukan capres berkelas terbaik,Politik
173,garda samudra ganjar mahfud program komitmen jaga keamanan laut bangun kekuatan militer laut,Pertahanan dan Keamanan
174,nyata karangan bunga relawan ganjar mahfud rekannya kemarin korban penganiayaan oknum aparat,Sosial Budaya
175,pengancam anies ditangkap bareskrim polri mengkonfirmasi mengamankan warga pengancaman penembakan capres anies baswedan ya ditangkap karo penmas divisi humas polri brigjen pol trunoyudo wisnu andiko,Pertahanan dan Keamanan
176,pasangan capres cawapres ganjar pranowo mahfud md membawa harapan petani meningkatkan kuota pupuk semoga hasil panen melimpah,Ekonomi
177,capres cawapres ri no ganjar pranowo mahfud md pelindung petani tembakau mari sukseskan impian produksi tembakau berkualitas,Politik
178,kodam xiii moga kelanjutan boyolali kemarin pawai mbok iya knalpot breng breng lokasi sensitif dah gak musim pawai mengerahkan massa skr musimnya adu gagasan desak anies,Pertahanan dan Keamanan
179,pendukung anies membawa bendera berebutan bersalaman pendukung prabowo membawa bendera partai berebut kaos dilemparkan,Politik
180,anies ganjar paslon warga negara indonesia berhak transparansi data menteri aktif kinerja data research dipapar,Sosial Budaya
181,anies baswedan tom lembong dibuang kabinet kegagalan kinerja kualitas dikhawatirkan momok kinerja kepemerintahan,Politik
182,calon presiden ri no urut ganjar pranowo memahami urgensi menjaga konstitusi aturan dasar negara panduan negara,Ideologi
183,anies salah tentara pny rumah jt cyber attack x,Pertahanan dan Keamanan
184,pasangan ganjar pranowo mahfud md pilihan petani tembakau dukungan kunci kesuksesan produksi tembakau,Politik
185,desak anies nakes siang stunting kehamilan jakarta kamis januari,Sosial Budaya
186,ganjar pranowo mahfud md senang banget lihat tagar membawa energi positif yuk lanjutin dukungan,Politik
187,rekam jejak jokowi prabowo menculik aktivis pilih jokowi dukung jokowi suka watak prabowo jokowi dukung prabowo dukung prabowo watak jokowi prabowo,Politik
188,bareng fuji thariq influencer nasional ganjar launching gratisin program internet super cepat gratis merata kota semarang indonesia bebas buffering,Ekonomi
189,abah anies mengangkat martabat petani menerus menerima bansos penghasilannya,Sosial Budaya
190,puan buka peluang ganjar mahfud merapat anies cak imin pilpres putaran,Politik
191,kemenangan putaran prabowo gibran membawa harapan dukungantulus,Politik
192,anak muda humanies berdonasi video tron food truck web anies amp cak imin gerakan perubahan bergelombang pengusaha rumah makan padang prmp bogor suplai makanan pejuang perubahan tps,Sosial Budaya
193,perayaan ulang pdi perjuangan diadakan sekolah partai hadir kehadiran mengesankan dimana megawati soekarnoputri sosok kunci partai didampingi prananda prabowo acara momen menandai tonggak sejarah partai diwarnai semangat perjuangan komitmen prinsip prinsip dianut pdi perjuangan,Politik
194,anies layak presiden ekonom jebolan as hasil survei bloomberg diremehkan,Politik
195,prabowo bilang gaza tunjukin tuh tone deaf and it s really disgusting ga peduli genosida sih lupa palestine under occupation military checkpoints illegal settlements lain-lain kacau deh,Sosial Budaya
196,prabowo dedikasinya nyata indonesia buktinyata tiadahenti,Politik
197,kelompok relawan gus ipul jatim deklarasi dukung prabowo gibran emil dardak khofifah bergabung prabowo relawan gus ipul tebal kemenangan jatim milihtulusnya hatipakbowo ayahbowogbran palingsejuk,Politik
198,dukungan ganjar wirausaha lokal dorongan positif ekonomi daerah,Ekonomi
199,desak anies ambon pinggir pantai baby indah beach spesial aspirasi muncul menghidupkan wilayah timur indonesia potensinya,Sosial Budaya
200,petani paslon capres ganjar pranowo dukung kuota pupuk ditingkatkan pertanian maju,Ekonomi
201,eyang anies perihal bahan baku farmasi import mahal alkes harganya tertinggal dg negara silahkan bandingkan gagasan bobot eyang anies,Politik
202,no i really enjoy the show indonesia gada berani elit malam lontarkan anis prabowo stop normalisasi elit berbuat enak nya,Politik
203,ganjar mahfud memimpin visi bssn pusat daerah melindungi ancaman sibr,Pertahanan dan Keamanan
204,keren habis mas ganjar prof mahfud nge set standar dunia ekonomi hijau ganjar pranowo merakyat berbuat rakyat,Ekonomi
205,peserta debat pemenang pilpres dn prabowo rival menilai debatnya isi mengedukasi masyarakat dn mmg kecewa berharap debat dinikmati pendidikan politik mlh disuguhi tontonan menjatuhkan org,Politik
206,gabung gaspoll bro relawan erick thohir banten tegak lurus dukung prabowo gibran tribun jabar,Politik
207,dukungan merata ganjar pranowo mahfud md pemimpin memimpin indonesia presiden,Politik
208,sederhana impactful paslon no capres ganjar pranowo cawapres mahfud md rencana merampingkan regulasi hukum investor indonesia,Politik
209,gibran mocked muhaimin for bringing and reading notes what s the with having papers and data in your hand during a debate does he remember his partner got flamed by ganjar just because he was well prepared with a whole binder,Politik
210,anies belajar ekonomi paslon s s phd salah gelarny studi bidang ekonomi did did he really just said that,Politik
211,dukungan tulus warga jabar modal prabowo berbuatbaik untukmasyarakat,Politik
212,breaking news pelaku mengancam nembak anies baswedan tangkap kepolisian terima kasih,Pertahanan dan Keamanan
213,program capres ganjar pranowo perjuangan bantuan sarana produksi mengalir sudut tanah pertanian,Politik
214,menhan prabowo subianto emil dardak berseloroh pemimpin muda acara resmikan sumur air bor bandung insider bandung insider,Politik
215,temen teman tanggal februari bikin gebrakan mencoblos ganjar pranowo iya,Politik
216,alhamdulillah yra keluarga nu dukungan pasangan amin anies baswedan muhaimin iskandar amin,Politik
